Canonicalized SMILES,Canonicalized Taste,Original Labels,Source,mol,standardised_smiles
O=C(O)CNC(=Nc1ccc2cn[nH]c2c1)NC1CCCCCCC1,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd58d60>,O=C(O)CNC(=Nc1ccc2cn[nH]c2c1)NC1CCCCCCC1
CC(NC(=Nc1cnc2cn[nH]c2c1)NCC(=O)O)c1ccccc1,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd59fc0>,CC(NC(=Nc1cnc2cn[nH]c2c1)NCC(=O)O)c1ccccc1
CC1=CC=CCC1,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd5a0a0>,CC1=CC=CCC1
CC1=CCCCC1,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd5a260>,CC1=CCCCC1
COCC1(OC2OC(CO)C(O)C(O)C2O)OC(CO)C(O)C1O,sweet,"Sweet; Very sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd5aab0>,COCC1(OC2OC(CO)C(O)C(O)C2O)OC(CO)C(O)C1O
CC1=C(C)CC(C(=O)O)(S(=O)(=O)c2ccccc2)C(C)C1,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd5ab90>,CC1=C(C)CC(C(=O)O)(S(=O)(=O)c2ccccc2)C(C)C1
CC1=C(C)CC(C(=O)O)(S(=O)(=O)c2ccccc2)CC1,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd5bf40>,CC1=C(C)CC(C(=O)O)(S(=O)(=O)c2ccccc2)CC1
CC1=CCC(C(=O)O)(S(=O)(=O)c2ccccc2)C(C)C1,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd5be60>,CC1=CCC(C(=O)O)(S(=O)(=O)c2ccccc2)C(C)C1
CC1=CCC(C(=O)O)(S(=O)(=O)c2ccccc2)CC1,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd5bd80>,CC1=CCC(C(=O)O)(S(=O)(=O)c2ccccc2)CC1
O=C(O)c1ccccc1C(=O)c1ccc(O)c(O)c1,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd5bd10>,O=C(O)c1ccccc1C(=O)c1ccc(O)c(O)c1
COc1c(O)cc2c(c1O)C(=O)C(O)C(c1ccc(O)c(O)c1)O2,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd5bca0>,COc1c(O)cc2c(c1O)C(=O)C(O)C(c1ccc(O)c(O)c1)O2
COc1c(O)cc2c(c1O)C(=O)C(OC(C)=O)C(c1ccc(O)c(O)c1)O2,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd5bc30>,COc1c(O)cc2c(c1O)C(=O)C(OC(C)=O)C(c1ccc(O)c(O)c1)O2
COc1ccc(C(=O)c2ccccc2C(=O)O)cc1O,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd5bb50>,COc1ccc(C(=O)c2ccccc2C(=O)O)cc1O
COc1ccc(OCc2ccccc2C(=O)O)cc1O,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd5bae0>,COc1ccc(OCc2ccccc2C(=O)O)cc1O
COc1ccc(C2OC(=O)c3ccccc3O2)cc1O,sweet,"Tasteless; Sweet(2), Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd5ba70>,COc1ccc(C2OC(=O)c3ccccc3O2)cc1O
COc1ccc(C2Oc3ccccc3O2)cc1O,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd5b760>,COc1ccc(C2Oc3ccccc3O2)cc1O
COc1ccc(C2OC(=O)c3ccccc3S2)cc1O,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd5b530>,COc1ccc(C2OC(=O)c3ccccc3S2)cc1O
COc1ccc(C2Oc3ccccc3S2)cc1O,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd5b1b0>,COc1ccc(C2Oc3ccccc3S2)cc1O
COc1ccc(C2CSc3ccccc3S2)cc1O,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd5b140>,COc1ccc(C2CSc3ccccc3S2)cc1O
COc1ccc(C2CSc3cc(O)ccc3O2)cc1O,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd5af80>,COc1ccc(C2CSc3cc(O)ccc3O2)cc1O
COc1ccc(C2CSc3ccccc3O2)cc1O,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd5ae30>,COc1ccc(C2CSc3ccccc3O2)cc1O
COc1ccc(C2CS(=O)(=O)c3ccccc3O2)cc1O,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd5a7a0>,COc1ccc(C2CS(=O)(=O)c3ccccc3O2)cc1O
COc1ccc(C2SCc3c(O)cccc3S2)cc1O,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd5a730>,COc1ccc(C2SCc3c(O)cccc3S2)cc1O
COc1ccc(C2OCc3c(O)cccc3S2)cc1O,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd5a2d0>,COc1ccc(C2OCc3c(O)cccc3S2)cc1O
COc1ccc(C2CCc3ccccc3S2)cc1O,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd5a110>,COc1ccc(C2CCc3ccccc3S2)cc1O
COc1ccc(C2SCc3ccccc3S2)cc1O,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd5a030>,COc1ccc(C2SCc3ccccc3S2)cc1O
COc1ccc(C2Sc3ccccc3S2)cc1O,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd59e00>,COc1ccc(C2Sc3ccccc3S2)cc1O
COc1ccc(C2Oc3ccccc3CS2)cc1O,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd59cb0>,COc1ccc(C2Oc3ccccc3CS2)cc1O
COc1ccc(C2OCc3ccccc3S2)cc1S,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd59a80>,COc1ccc(C2OCc3ccccc3S2)cc1S
O=C(O)c1ccccc1C(=O)c1ccc(Cl)cc1,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd59a10>,O=C(O)c1ccccc1C(=O)c1ccc(Cl)cc1
CCOc1ccc(C(=O)c2ccccc2C(=O)O)cc1,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd599a0>,CCOc1ccc(C(=O)c2ccccc2C(=O)O)cc1
CCc1ccc(S(=O)(=O)C(C(=O)O)C(C)C)cc1,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd597e0>,CCc1ccc(S(=O)(=O)C(C(=O)O)C(C)C)cc1
O=C(O)c1ccccc1C(=O)c1ccc(O)cc1,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd59770>,O=C(O)c1ccccc1C(=O)c1ccc(O)cc1
COc1ccc(C(=O)c2ccccc2C(=O)O)cc1,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd594d0>,COc1ccc(C(=O)c2ccccc2C(=O)O)cc1
COc1ccc(S(=O)c2ccccc2C(=O)O)cc1,sweet,"Sweet , Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd59460>,COc1ccc([S+]([O-])c2ccccc2C(=O)O)cc1
Cc1ccc(C(=O)c2ccccc2C(=O)O)cc1,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd59310>,Cc1ccc(C(=O)c2ccccc2C(=O)O)cc1
Cc1ccc(S(=O)(=O)C(C(=O)O)C(C)C)cc1,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd59070>,Cc1ccc(S(=O)(=O)C(C(=O)O)C(C)C)cc1
CCC(C)C(C(=O)O)S(=O)(=O)c1ccccc1,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd59000>,CCC(C)C(C(=O)O)S(=O)(=O)c1ccccc1
CC1(C)CC1(C(=O)O)S(=O)(=O)c1ccc(O)cc1,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd58e40>,CC1(C)CC1(C(=O)O)S(=O)(=O)c1ccc(O)cc1
CCOc1ccc(CCC(=O)c2ccccc2O)cc1O,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd58ba0>,CCOc1ccc(CCC(=O)c2ccccc2O)cc1O
COc1ccc(CCC(=O)c2ccccc2O)cc1O,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd58a50>,COc1ccc(CCC(=O)c2ccccc2O)cc1O
COc1ccc(CCC(=O)c2c(O)cc(O)c(C(=O)O)c2O)cc1O,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd58900>,COc1ccc(CCC(=O)c2c(O)cc(O)c(C(=O)O)c2O)cc1O
CC(C)(OCC(=O)O)C1CC=C(C=NO)CC1,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd58660>,CC(C)(OCC(=O)O)C1CC=C(C=NO)CC1
O=C(Oc1ccc([N+](=O)[O-])cc1)Oc1cc(C2OCc3ccccc3S2)ccc1O,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd585f0>,O=C(Oc1ccc([N+](=O)[O-])cc1)Oc1cc(C2OCc3ccccc3S2)ccc1O
COc1ccc(C2OCc3ccccc3O2)cc1OC(=O)Nc1ccc([N+](=O)[O-])cc1,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd58580>,COc1ccc(C2OCc3ccccc3O2)cc1OC(=O)Nc1ccc([N+](=O)[O-])cc1
COc1ccc(C2OCc3ccccc3S2)cc1OC(=O)Nc1ccc([N+](=O)[O-])cc1,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd58510>,COc1ccc(C2OCc3ccccc3S2)cc1OC(=O)Nc1ccc([N+](=O)[O-])cc1
O=C(COc1cccc(C2OCc3ccccc3S2)c1)c1ccc([N+](=O)[O-])cc1,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd584a0>,O=C(COc1cccc(C2OCc3ccccc3S2)c1)c1ccc([N+](=O)[O-])cc1
CN(C)c1ccc(C(=O)c2ccccc2C(=O)O)cc1,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd583c0>,CN(C)c1ccc(C(=O)c2ccccc2C(=O)O)cc1
CC(C)OC(=O)C(C)NC(=O)C(N)C(=O)O,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd59b60>,CC(C)OC(=O)C(C)NC(=O)C(N)C(=O)O
Nc1ccccc1C(=O)O,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd58190>,Nc1ccccc1C(=O)O
O=C(O)CNC(=Nc1ccc(Cl)nc1)NC1CCCCCCC1,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd58c80>,O=C(O)CNC(=Nc1ccc(Cl)nc1)NC1CCCCCCC1
N#Cc1ccc(N=C(NCC(=O)O)NC2CCCCCCCC2)cn1,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd5ad50>,N#Cc1ccc(N=C(NCC(=O)O)NC2CCCCCCCC2)cn1
N#Cc1ccc(N=C(NCC(=O)O)NC2CCCCCCC2)cn1,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd5aff0>,N#Cc1ccc(N=C(NCC(=O)O)NC2CCCCCCC2)cn1
N#Cc1ccc(N=C(NCC(=O)O)NC(c2ccccc2)c2ccco2)cn1,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd592a0>,N#Cc1ccc(N=C(NCC(=O)O)NC(c2ccccc2)c2ccco2)cn1
O=C(O)C(C1CCCC1)S(=O)(=O)c1ccccc1,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd58200>,O=C(O)C(C1CCCC1)S(=O)(=O)c1ccccc1
CCOc1ccc(CCc2ccccc2)cc1O,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd5adc0>,CCOc1ccc(CCc2ccccc2)cc1O
COc1ccc(CC(=O)c2ccccc2O)cc1O,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd5bdf0>,COc1ccc(CC(=O)c2ccccc2O)cc1O
COc1ccc(CCCc2ccccc2)cc1O,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd5b0d0>,COc1ccc(CCCc2ccccc2)cc1O
COc1ccc(CSc2ccccc2)cc1O,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd59bd0>,COc1ccc(CSc2ccccc2)cc1O
COc1ccc(CCc2ccc3c(c2)OCO3)cc1O,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd5ace0>,COc1ccc(CCc2ccc3c(c2)OCO3)cc1O
COc1ccc(CCc2ccccc2OC)cc1O,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd5b840>,COc1ccc(CCc2ccccc2OC)cc1O
COc1ccc(CCc2ccccc2C)cc1O,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd58890>,COc1ccc(CCc2ccccc2C)cc1O
COc1cccc(CCc2ccc(OC)c(O)c2)c1,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd59d90>,COc1cccc(CCc2ccc(OC)c(O)c2)c1
COc1ccc(CCc2cccc(C)c2)cc1O,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd59e70>,COc1ccc(CCc2cccc(C)c2)cc1O
CC=C(C)C,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd59930>,CC=C(C)C
CC(NC(=Nc1ccc2ccccc2c1)NCC(=O)O)c1ccccc1,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd59ee0>,CC(NC(=Nc1ccc2ccccc2c1)NCC(=O)O)c1ccccc1
CC(C)C(C)(C(=O)O)S(=O)(=O)c1ccccc1,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd5b8b0>,CC(C)C(C)(C(=O)O)S(=O)(=O)c1ccccc1
CC(C)C(C(=O)O)S(=O)(=O)c1ccccc1,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd5a810>,CC(C)C(C(=O)O)S(=O)(=O)c1ccccc1
CCC(C(=O)O)S(=O)(=O)c1ccccc1,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd5af10>,CCC(C(=O)O)S(=O)(=O)c1ccccc1
CCOC(=O)c1ccc(NC(=S)NC(CC(=O)O)C(=O)NC(Cc2ccccc2)C(=O)OC)cc1,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd5b6f0>,CCOC(=O)c1ccc(NC(=S)NC(CC(=O)O)C(=O)NC(Cc2ccccc2)C(=O)OC)cc1
CCOC(=O)c1ccc(NC(=O)NC(CC(=O)O)C(=O)NC(Cc2ccccc2)C(=O)OC)cc1,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd5b4c0>,CCOC(=O)c1ccc(NC(=O)NC(CC(=O)O)C(=O)NC(Cc2ccccc2)C(=O)OC)cc1
CC(NC(=O)C(N)CC(=O)O)NC(=O)C12CC3CC(CC(C3)C1)C2,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd5b450>,CC(NC(=O)C(N)CC(=O)O)NC(=O)C12CC3CC(CC(C3)C1)C2
COc1ccc(C2OCc3ccccc3S2)c(C=Cc2ccc([N+](=O)[O-])cc2)c1O,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd5b370>,COc1ccc(C2OCc3ccccc3S2)c(C=Cc2ccc([N+](=O)[O-])cc2)c1O
N#Cc1ccc(NC(=O)NC(CC(=O)O)c2ccc3c(c2)OCO3)cc1,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd58270>,N#Cc1ccc(NC(=O)NC(CC(=O)O)c2ccc3c(c2)OCO3)cc1
NC(=O)c1c(Br)cc(Br)c(CCC(=O)O)c1Br,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd59c40>,NC(=O)c1c(Br)cc(Br)c(CCC(=O)O)c1Br
COc1ccc(C2Cc3ccccc3CO2)cc1O,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd5b220>,COc1ccc(C2Cc3ccccc3CO2)cc1O
COc1ccc(CCC(=O)c2cccc(C(=O)O)c2)cc1O,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd5b290>,COc1ccc(CCC(=O)c2cccc(C(=O)O)c2)cc1O
COc1ccc(C2COc3ccccc3S2)cc1O,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd5b300>,COc1ccc(C2COc3ccccc3S2)cc1O
COc1ccc(C2COc3ccccc3C2)cc1O,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd593f0>,COc1ccc(C2COc3ccccc3C2)cc1O
Nc1cc(Cl)ccc1C(=O)CC(N)C(=O)O,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd59380>,Nc1cc(Cl)ccc1C(=O)CC(N)C(=O)O
Oc1cccc(C2OCc3ccccc3S2)c1,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd5bbc0>,Oc1cccc(C2OCc3ccccc3S2)c1
Oc1ccc(C2OCc3ccccc3S2)cc1O,sweet,"Sweet, Sweetness",chemtastes_db,<rdkit.Chem.rdchem.Mol object at 0x7c524bd5b060>,Oc1ccc(C2OCc3ccccc3S2)cc1O
